nNoBorne,sStatut,sNomRue,sZoneGroupeCode,nLongitude,nLatitude,sTypeExploitation
12092,A,Boulevard du Mont-Royal  (OUT),TB-TC-TD-X,-73.611474008065755000,45.510051869307695000,Régulier Payez-Partez
12093,A,Avenue Vincent-D'Indy  (MTL+OUT),TB-TC-TD-X,-73.614681593753204000,45.511205125876948000,Régulier Payez-Partez
12094,A,Avenue Vincent-D'Indy  (MTL+OUT),TB-TC-TD-X,-73.613363038119942000,45.510615722859150000,Régulier Payez-Partez
12095,A,Avenue Vincent-D'Indy  (MTL+OUT),TB-TC-TD-X,-73.614170146268464000,45.511187290420700000,Régulier Payez-Partez
12097,A,Avenue Vincent-D'Indy  (MTL+OUT),TB-TC-TD-X,-73.610525715045028000,45.509508149561825000,Régulier Payez-Partez
12100,A,Wellington (Ver),VN-VP-VQ-VR,-73.566117450773533000,45.467805996092345000,Régulier Payez-Partez
12101,A,Wellington (Ver),IMAGE AGENCE,-73.566711758679546000,45.466974929509988000,Régulier Payez-Partez
12102,A,Wellington (Ver),VN-VP-VQ-VR,-73.566811422904905000,45.465854966339414000,Régulier Payez-Partez
12103,A,Wellington (Ver),VN-VP-VQ-VR,-73.566539776303173000,45.467008753082524000,Régulier Payez-Partez
12104,A,Wellington (Ver),VN-VP-VQ-VR,-73.566665508147381000,45.465671433238349000,Régulier Payez-Partez
12105,A,Wellington (Ver),VN-VP-VQ-VR,-73.566941420981664000,45.464413091715272000,Régulier Payez-Partez
12106,A,Wellington (Ver),VN-VP-VQ-VR,-73.567052763843634000,45.463200141767111000,Régulier Payez-Partez
12107,A,Wellington (Ver),VN-VP-VQ-VR,-73.566805455047899000,45.464088297248566000,Régulier Payez-Partez
12108,A,Église (Ver),BASE COURTE ,-73.567219382122985000,45.462731495758938000,Régulier Payez-Partez
12109,A,Wellington (Ver),VN-VP-VQ-VR,-73.566995660927688000,45.462029573238439000,Régulier Payez-Partez
12110,A,Wellington (Ver),VN-VP-VQ-VR,-73.567063013289029000,45.461270445193627000,Régulier Payez-Partez
12111,A,Wellington (Ver),VN-VP-VQ-VR,-73.567273249299205000,45.460742890364600000,Régulier Payez-Partez
12112,A,Rielle (Ver),BASE COURTE ,-73.567115794609748000,45.460049651428236000,Régulier Payez-Partez
12113,A,Wellington (Ver),IMAGE AGENCE,-73.567389192640533000,45.459531490513641000,Régulier Payez-Partez
12114,A,Wellington (Ver),VN-VP-VQ-VR,-73.567276012578986000,45.458916165491615000,Régulier Payez-Partez
12115,A,Wellington (Ver),VN-VP-VQ-VR,-73.567500031331619000,45.458302015044772000,Régulier Payez-Partez
12116,A,Wellington (Ver),VN-VP-VQ-VR,-73.567575510608933000,45.457389062258862000,Régulier Payez-Partez
12117,A,2e Avenue (Ver),BASE COURTE ,-73.567275820191810000,45.457794596626606000,Régulier Payez-Partez
12118,A,Wellington (Ver),VN-VP-VQ-VR,-73.567441299356972000,45.457025988338970000,Régulier Payez-Partez
12119,A,Wellington (Ver),VN-VP-VQ-VR,-73.567660400596267000,45.456499753417006000,Régulier Payez-Partez
12120,A,Wellington (Ver),VN-VP-VQ-VR,-73.567722865153641000,45.455802106122945000,Régulier Payez-Partez
12121,A,Wellington (Ver),VN-VP-VQ-VR,-73.567614930322392000,45.455158076319023000,Régulier Payez-Partez
12122,A,1ere Avenue (Ver),VN-VP-VQ-VR,-73.571879209709749000,45.458658814910585000,Régulier Payez-Partez
12123,A,Verdun (Ver),VN-VP-VQ-VR,-73.571922326185003000,45.457756875763394000,Régulier Payez-Partez
12124,A,Verdun (Ver),IMAGE AGENCE,-73.571796957239201000,45.456949933768463000,Régulier Payez-Partez
12126,A,Verdun (Ver),VN-VP-VQ-VR,-73.572074893091326000,45.456064753138087000,Régulier Payez-Partez
12127,A,6e Avenue (VER),BASE COURTE ,-73.571886130763360000,45.455507026972256000,Régulier Payez-Partez
12128,A,Verdun (Ver),VN-VP-VQ-VR,-73.572226163339465000,45.454526903906689000,Régulier Payez-Partez
12129,A,Verdun (Ver),VN-VP-VQ-VR,-73.572040534547312000,45.453967384244777000,Régulier Payez-Partez
12130,A,Verdun (Ver),VN-VP-VQ-VR,-73.572321061174023000,45.453265052365467000,Régulier Payez-Partez
12131,A,Église (Ver),VN-VP-VQ-VR,-73.569704814609565000,45.462945785252074000,Régulier Payez-Partez
12132,A,Église (Ver),VN-VP-VQ-VR,-73.567799933655266000,45.462868308109186000,Régulier Payez-Partez
12133,A,Église (Ver),VN-VP-VQ-VR,-73.570573597223586000,45.462887771184441000,Régulier Payez-Partez
12134,A,Église (Ver),BASE COURTE ,-73.569296390322876000,45.462828039861158000,Régulier Payez-Partez
12135,A,Église (Ver),BASE COURTE ,-73.564476063855324000,45.462721690200325000,Régulier Payez-Partez
12136,A,Église (Ver),IMAGE AGENCE,-73.565597922294501000,45.462660051064624000,Régulier Payez-Partez
12137,A,Église (Ver),BASE / IMAGE,-73.564350338966918000,45.462590977895800000,Régulier Payez-Partez
12138,A,Hickson (Ver),VN-VP-VQ-VR,-73.567295972413319000,45.464866639684104000,Régulier Payez-Partez
12139,A,Hickson (Ver),VN-VP-VQ-VR,-73.566161571460711000,45.464831464544666000,Régulier Payez-Partez
12140,A,Lasalle (Ver),VN-VP-VQ-VR,-73.563793600765990000,45.462917804919037000,Régulier Payez-Partez
12141,A,Lasalle (Ver),BASE COURTE ,-73.564446677184890000,45.464101148314761000,Régulier Payez-Partez
12142,A,Lasalle (Ver),VN-VP-VQ-VR,-73.563675944869061000,45.463061929937730000,Régulier Payez-Partez
12143,A,VER 22 - Rue Woodland,VN-VP-VQ-VR,-73.572980670707651000,45.452747057481801000,Régulier Payez-Partez
12144,A,438 - rue Éthel - Niv 2,VN-VP-VQ-VR,-73.567954317788974000,45.463562466856679000,Régulier Payez-Partez
12145,A,438 - rue Éthel - Niv 3,VN-VP-VQ-VR,-73.567508586078390000,45.463638966394953000,Régulier Payez-Partez
13002,A,Montfort,J-L-M-SP,-73.563173670613040000,45.496930166538291000,Régulier Payez-Partez
